w_1stIn,l_1stIn,w_2ndWon,l_2ndWon,w_bpFaced,w_bpSaved
34,22,3,5,0,0
30,37,11,7,7,5
55,62,18,22,9,6
52,65,21,19,5,2
31,47,7,13,1,0
3,6,5,1,0,0
29,26,18,12,1,1
32,35,15,11,4,2
50,61,15,11,5,3
35,29,12,7,1,1
44,31,10,15,3,2
39,39,17,11,6,3
42,40,16,13,6,4
34,34,19,8,4,3
60,55,16,18,4,1
68,44,8,10,9,7
40,35,15,8,9,8
37,36,14,3,7,6
41,39,8,8,4,2
36,23,9,12,3,2
48,43,9,17,5,2
50,25,6,6,6,4
47,50,20,11,14,11
47,48,13,11,6,6
58,33,18,15,9,5
30,29,10,11,3,2
28,32,14,10,6,6
51,45,17,11,4,2
37,44,15,7,4,2
60,39,11,9,8,8
19,13,6,4,3,3
38,40,15,15,3,1
43,32,13,12,4,3
37,56,19,18,2,2
42,39,17,15,7,6
31,43,11,12,0,0
29,28,13,12,1,0
41,48,17,15,3,3
62,58,11,13,8,4
60,78,28,21,11,7
35,44,6,9,0,0
68,76,22,25,8,6
45,38,11,13,5,3
31,31,14,13,5,2
31,40,10,4,5,3
51,52,13,15,1,0
56,42,27,21,6,3
34,32,13,8,1,0
55,69,22,21,7,6
26,38,16,8,3,2
68,62,14,13,12,7
58,65,29,15,15,13
47,63,12,5,6,4
48,48,27,23,6,5
31,24,5,5,0,0
25,30,8,7,1,0
37,39,17,18,4,3
67,51,15,11,12,10
53,47,15,15,6,4
79,77,18,19,6,5
15,15,2,3,0,0
41,37,9,17,3,3
48,51,14,22,2,1
71,43,16,19,6,3
35,33,7,5,2,1
59,47,15,29,6,3
64,61,20,23,5,4
47,44,13,9,6,6
46,41,14,13,2,2
36,32,12,13,6,5
24,31,20,5,2,2
10,11,5,3,2,2
36,31,11,11,8,6
64,75,13,15,7,4
53,31,13,4,5,4
56,58,17,18,6,4
70,68,19,18,3,3
52,57,14,9,6,3
61,44,22,10,10,8
55,32,10,16,7,6
33,30,5,6,1,0
58,59,15,19,3,2
42,44,14,7,7,5
29,34,12,9,0,0
41,43,11,13,1,0
49,44,10,12,4,4
58,52,18,21,4,3
41,48,14,7,0,0
33,26,15,7,6,4
34,36,10,7,0,0
37,43,19,7,3,2
51,53,15,15,5,3
23,21,10,8,0,0
57,51,17,13,6,6
53,46,15,23,4,2
65,69,23,16,4,3
43,38,22,19,9,6
31,38,14,9,3,1
21,20,13,5,3,3
41,51,24,20,5,3
40,49,19,12,3,3
46,74,19,10,4,2
49,58,19,15,7,4
38,42,10,17,1,1
39,38,17,16,4,3
25,39,17,10,1,0
64,37,16,18,11,8
37,38,22,12,8,7
39,33,13,9,0,0
31,22,18,21,3,3
35,39,10,12,3,2
66,51,14,11,14,10
33,32,6,12,2,2
44,46,12,12,1,0
29,43,16,9,7,4
51,56,17,29,6,3
57,43,17,16,13,11
64,59,20,26,6,6
33,32,16,13,1,1
82,66,25,22,12,10
30,40,13,14,2,1
59,60,19,14,6,4
65,55,26,20,16,13
43,40,18,13,3,2
30,34,15,10,3,3
35,47,23,14,5,2
48,50,20,26,4,1
34,35,12,11,1,1
29,31,8,4,0,0
27,27,7,6,1,0
26,47,16,8,0,0
38,39,16,19,2,2
38,37,8,15,4,2
63,52,30,28,10,7
32,25,11,10,2,1
28,28,9,8,0,0
47,45,12,14,8,7
30,29,12,9,3,3
65,61,24,23,9,7
52,56,11,16,13,7
45,42,9,11,0,0
35,40,17,8,8,5
28,31,15,9,0,0
38,44,14,15,2,2
69,52,20,24,5,5
46,46,16,11,6,2
50,39,20,27,3,2
31,35,22,14,4,3
23,29,15,10,1,1
54,37,18,24,4,2
57,40,19,19,11,9
48,36,13,10,0,0
27,28,16,12,3,2
56,53,30,26,4,3
37,34,14,12,2,2
37,39,15,8,5,3
35,39,13,14,0,0
56,38,15,8,13,11
53,41,19,12,7,6
38,42,9,10,1,0
48,51,22,17,7,6
52,64,29,16,3,3
37,47,19,14,2,2
60,46,11,25,2,0
35,36,16,8,6,4
38,27,11,7,6,3
64,56,28,33,5,4
23,29,14,11,2,1
36,35,12,17,2,1
46,51,14,7,2,2
32,50,12,11,4,3
40,39,18,12,7,6
23,36,16,8,1,1
33,29,8,15,4,2
51,41,15,19,5,3
29,38,11,14,0,0
35,36,12,18,4,3
73,66,22,24,7,6
26,26,9,12,0,0
32,26,16,14,3,2
42,37,14,16,1,1
61,57,21,15,10,8
35,29,8,11,3,2
56,48,25,20,9,4
72,64,37,25,15,12
33,24,13,9,1,0
41,42,27,14,4,2
63,64,39,11,11,9
43,36,24,22,7,5
29,23,7,12,3,3
31,42,10,9,1,1
35,39,20,18,6,5
37,40,17,16,3,2
49,72,12,15,12,6
29,30,13,9,3,2
29,49,15,8,1,1
35,39,5,9,4,2
9,12,2,3,1,0
50,52,15,17,7,3
48,47,18,11,4,2
65,60,27,24,6,5
53,50,13,17,4,1
54,56,32,27,5,5
56,54,23,20,11,8
73,63,13,24,6,3
50,55,30,19,9,6
28,29,16,10,1,1
28,35,7,6,1,1
23,44,13,9,0,0
49,52,24,30,4,1
23,24,12,8,2,2
34,33,9,8,4,2
28,25,11,6,0,0
44,68,37,18,6,4
50,59,20,17,12,10
33,34,21,16,3,3
68,62,28,19,4,2
43,44,15,15,1,0
38,45,14,15,3,2
28,34,14,13,4,3
52,64,22,26,7,4
37,61,26,19,1,0
49,23,8,12,1,0
50,45,13,21,3,2
37,31,12,13,3,3
40,49,8,18,1,0
42,40,8,14,3,1
30,29,14,11,1,0
44,44,11,19,7,6
22,24,11,9,2,1
39,34,7,8,5,3
50,31,9,17,2,2
76,52,19,24,8,6
59,43,18,23,7,4
40,26,9,12,2,1
28,40,15,9,1,0
57,68,33,20,7,4
48,37,17,13,5,4
51,40,7,13,5,3
58,55,15,13,12,9
54,47,21,11,9,6
33,29,8,18,4,1
27,27,14,6,4,3
75,72,27,28,3,3
49,47,15,16,6,3
28,31,10,8,1,1
48,35,8,10,5,4
35,48,14,18,2,0
36,38,13,11,0,0
31,45,20,6,4,3
36,55,16,8,0,0
40,39,6,13,2,0
57,63,19,19,6,3
50,49,20,13,6,3
49,44,13,13,1,1
22,20,12,9,0,0
43,38,20,14,3,2
38,52,18,9,5,2
57,46,15,17,8,5
30,37,12,9,1,1
55,47,11,12,7,6
45,57,19,18,3,1
53,48,8,10,1,1
26,40,23,12,2,1
54,28,11,12,8,7
68,67,26,24,11,7
42,51,23,12,1,1
50,90,28,19,8,5
36,34,10,11,3,3
72,71,33,25,6,4
56,45,19,30,5,4
31,37,18,5,3,2
59,50,17,19,7,4
27,37,11,5,3,2
39,38,11,8,0,0
79,62,27,19,8,6
31,53,12,8,4,3
51,43,14,17,5,3
56,56,16,15,3,1
46,42,21,14,5,4
58,68,24,19,6,4
50,72,19,20,11,9
66,60,24,19,9,7
64,78,23,20,7,5
73,68,18,19,10,5
31,32,12,12,0,0
45,33,16,17,2,2
21,25,6,4,0,0
34,37,12,5,3,1
26,41,8,10,0,0
33,30,9,6,4,4
84,82,22,21,3,3
64,58,19,27,6,5
41,31,11,17,0,0
32,42,22,5,4,2
42,56,17,13,2,2
42,34,12,13,3,2
34,42,16,9,0,0
44,39,9,9,3,3
34,24,4,6,0,0
29,30,8,6,0,0
42,39,11,3,9,9
33,27,9,9,0,0
47,39,14,21,6,4
51,48,22,13,7,6
42,42,15,16,0,0
59,58,23,19,5,4
63,51,18,21,8,6
38,27,12,11,2,2
46,59,17,16,6,3
36,26,12,9,2,2
49,52,23,12,0,0
49,46,12,10,4,4
66,66,11,15,2,2
55,83,13,19,3,1
32,46,23,11,11,11
33,29,11,13,0,0
31,29,7,7,2,1
28,32,17,10,3,2
46,32,17,16,8,8
35,51,15,7,4,2
53,53,16,22,7,6
36,41,14,10,5,3
28,24,12,13,7,4
45,51,13,13,4,3
55,44,23,31,4,1
41,31,11,13,5,4
31,20,9,14,0,0
28,27,11,7,0,0
64,43,23,31,12,11
52,80,27,16,6,5
51,50,19,18,6,4
28,28,7,10,2,0
27,24,8,2,3,3
43,49,21,11,5,3
8,16,4,2,0,0
54,42,14,17,5,2
51,39,11,12,7,7
56,52,15,13,9,5
54,79,25,18,9,6
38,48,16,8,7,7
29,37,21,9,2,2
47,30,10,18,7,5
65,54,22,18,11,7
53,40,14,15,7,4
50,42,18,17,5,4
45,34,12,13,8,6
61,60,23,14,18,14
37,41,14,12,0,0
35,31,3,4,2,2
60,64,18,15,7,4
48,52,21,14,4,3
49,49,21,10,7,7
55,77,19,15,2,1
31,28,8,12,2,0
59,59,17,20,12,9
38,36,33,22,10,7
49,47,20,18,9,7
46,58,13,17,10,5
40,53,23,17,4,1
18,28,12,3,1,1
35,29,12,12,10,8
32,27,12,8,2,2
31,29,14,8,6,5
18,34,12,9,1,0
30,29,14,9,0,0
29,41,15,18,4,2
30,30,12,15,2,2
46,41,17,20,2,0
72,72,36,26,13,10
59,51,15,21,5,1
46,36,26,14,7,5
56,56,14,15,9,5
30,31,12,9,4,1
37,44,14,8,5,4
52,53,17,17,3,3
80,78,28,13,8,6
82,75,15,18,9,6
59,67,18,28,1,1
86,110,33,38,8,4
70,74,33,24,5,3
69,51,14,25,1,1
44,52,20,15,2,2
57,55,28,11,9,7
